"開車時間及地點","","","","","",""
"星期一至五","","","星期一至五 及 星期日","","星期六 及 公眾假期",""
"班次","康城鐡路站 (B出口) 上午07:30 - 13:25  / 
調景嶺地鐡站 下午13:30 - 22:00 >> 將軍澳總部","將軍澳總部 >> 康城鐡路站 (B出口) 上午07:30 - 
13:00 /  調景嶺地鐡站 下午13:10 - 22:00","康城鐡路站 (B出口) >> 將軍澳總部
(16座小巴)","將軍澳總部 >>康城鐡路站 (B出口)
(16座小巴)","康城鐡路站 (B出口) >> 將軍澳總部
(16座小巴)","將軍澳總部 >> 康城鐡路站 (B出口)
(16座小巴)"
"1","*07:10","---","","","",""
"2","07:35 (調景嶺開出)","07:45","","","",""
"3","07:40 (調景嶺開出)","08:00","","","",""
"4","08:00","08:15","","","",""
"4a","*08:00","---","","","",""
"5","*08:10","---","","","",""
"6","08:15","08:30","","","",""
"7","*08:30","---","","","",""
"8","08:40","08:50","","","",""
"9","08:50","09:00","","","",""
"10","09:00","09:15","","","",""
"11","09:10","---","","","",""
"12","09:15","09:30","","","",""
"13","09:35","09:50","","","",""
"14","09:45","10:00","","","",""
"15","09:50","---","","","",""
"16","10:05","10:20","","","",""
"17","10:15","10:30","","","",""
"18","10:35","10:50","","","",""
"19","10:45","11:00","","","",""
"20","11:15","---","","","",""
"21","---","12:30","","","10:20","10:40"
"22","---","12:35","","","",""
"23","12:45","13:00","","","11:00","11:20"
"24","12:50","13:10 (往調景嶺)","","","11:40","12:00"
"25","13:25 (康城開出)","---","","","12:20","12:40"
"26","13:30 (調景嶺開出)","13:50","","","13:00","13:20"
"27","14:10","14:30","","","13:40","14:00"
"28","14:35","14:55","","","14:20","14:40"
"29","14:50","15:10","","","司機午飯及入油時間 (1450 - 1640)",""
"30","15:15","15:35","","","",""
"31","15:30","15:50","","","",""
"32","15:55","16:15","","","---","16:40"
"33","16:10","16:30","","","---","17:10"
"34","16:50","17:30","---","18:05","---","17:40"
"35","17:00","17:40","18:15","18:25","17:55","18:05"
"36","17:50","18:10","18:35","18:50","18:15","18:25"
"37","18:00","18:20","19:00","19:10","18:35","18:50"
"38","18:25","18:40","19:20","19:30","19:00","19:10"
"39","18:35","18:50","19:40","19:50","19:20","19:30"
"40","18:55","---","20:00","20:25","19:40","19:50"
"41","19:05","19:20","20:35","21:00","20:00","20:25"
"42","---","19:30","21:10","21:20","---","21:00"
"43","19:35","19:50","21:30","21:40","21:10","21:20"
"44","20:05","20:20","21:50","22:00","21:30","21:40"
"45","20:35","20:50","22:10","22:20","21:50","22:00"
"46","21:05","21:20","22:30","22:40","22:10","22:20"
"47","21:35","21:50","22:50","---","22:30","22:40"
"48","---","*23:15","---","---","---","---"
